2020-05-02 11:03:45.146 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-02 11:03:46.616 [main] INFO  c.hyl.graduation.fastdfs.FastdfsApplicationTests:651 - No active profile set, falling back to default profiles: default
2020-05-02 11:03:47.645 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:246 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-02 11:03:47.752 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-05-02 11:03:47.782 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:184 - Finished Spring Data repository scanning in 11ms. Found 0 repository interfaces.
2020-05-02 11:03:48.278 [main] INFO  o.springframework.cloud.context.scope.GenericScope:295 - BeanFactory id=abae0d28-0ada-3ce2-b84d-62844a3d09ed
2020-05-02 11:03:48.839 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-02 11:03:49.377 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'spring.cloud.sentinel-org.springframework.cloud.alibaba.sentinel.SentinelProperties' of type [org.springframework.cloud.alibaba.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-02 11:03:49.479 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'org.springframework.cloud.alibaba.sentinel.custom.SentinelAutoConfiguration' of type [org.springframework.cloud.alibaba.sentinel.custom.SentinelAutoConfiguration$$EnhancerBySpringCGLIB$$14d7e085] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-02 11:03:49.501 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-02 11:03:50.997 [main] INFO  c.h.g.fastdfs.service.FastDFSStorageService:120 - Init FastDFS with tracker_server : 192.168.91.128:22122
2020-05-02 11:03:52.702 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping:69 - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-02 11:03:53.047 [main] WARN  com.netflix.config.sources.URLConfigurationSource:121 - No URLs will be polled as dynamic configuration sources.
2020-05-02 11:03:53.049 [main] INFO  com.netflix.config.sources.URLConfigurationSource:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-02 11:03:53.155 [main] WARN  com.netflix.config.sources.URLConfigurationSource:121 - No URLs will be polled as dynamic configuration sources.
2020-05-02 11:03:53.156 [main] INFO  com.netflix.config.sources.URLConfigurationSource:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-02 11:03:53.495 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor:171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-02 11:03:54.620 [main] INFO  o.s.c.a.sentinel.SentinelWebAutoConfiguration:69 - [Sentinel Starter] register Sentinel with urlPatterns: [/*].
2020-05-02 11:03:58.614 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger:106 - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-05-02 11:03:58.719 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger:81 - Spring Cloud LoadBalancer is currently working with default default cache. You can switch to using Caffeine cache, by adding it to the classpath.
2020-05-02 11:03:58.881 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper:160 - Context refreshed
2020-05-02 11:03:58.923 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper:163 - Found 1 custom documentation plugin(s)
2020-05-02 11:03:58.989 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner:41 - Scanning for api listing references
2020-05-02 11:03:59.178 [main] WARN  s.d.s.w.readers.parameter.ParameterDataTypeReader:92 - Trying to infer dataType org.springframework.web.multipart.MultipartFile[]
2020-05-02 11:03:59.209 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory:524 - Attempting to connect to: [192.168.91.128:5672]
2020-05-02 11:03:59.299 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory:497 - Created new connection: rabbitConnectionFactory#2c34402:0/SimpleConnection@75c0cd39 [delegate=amqp://rabbit@192.168.91.128:5672/, localPort= 59649]
2020-05-02 11:03:59.377 [main] INFO  c.hyl.graduation.fastdfs.FastdfsApplicationTests:61 - Started FastdfsApplicationTests in 16.372 seconds (JVM running for 18.727)
2020-05-02 11:04:00.007 [main] INFO  io.lettuce.core.EpollProvider:68 - Starting without optional epoll library
2020-05-02 11:04:00.011 [main] INFO  io.lettuce.core.KqueueProvider:70 - Starting without optional kqueue library
2020-05-02 11:04:01.520 [lettuce-nioEventLoop-4-1] WARN  io.lettuce.core.RedisClient:632 - Cannot connect Redis Sentinel at RedisURI [host='192.168.91.128', port=26379]: java.util.concurrent.CompletionException: io.lettuce.core.RedisCommandExecutionException: ERR Client sent AUTH, but no password is set
2020-05-02 11:04:01.537 [lettuce-nioEventLoop-4-2] WARN  io.lettuce.core.RedisClient:632 - Cannot connect Redis Sentinel at RedisURI [host='192.168.91.128', port=26380]: java.util.concurrent.CompletionException: io.lettuce.core.RedisCommandExecutionException: ERR Client sent AUTH, but no password is set
2020-05-02 11:04:01.544 [lettuce-nioEventLoop-4-3] WARN  io.lettuce.core.RedisClient:632 - Cannot connect Redis Sentinel at RedisURI [host='192.168.91.128', port=26381]: java.util.concurrent.CompletionException: io.lettuce.core.RedisCommandExecutionException: ERR Client sent AUTH, but no password is set
2020-05-02 11:04:01.682 [SpringContextShutdownHook] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory:72 - Setting initial instance status as: STARTING
2020-05-02 11:04:01.686 [SpringContextShutdownHook] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry:65 - Unregistering application FASTDFS with eureka with status DOWN
2020-05-02 11:04:01.692 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer:640 - Waiting for workers to finish.
2020-05-02 11:04:02.370 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer:643 - Successfully waited for workers to finish.
2020-05-02 11:04:02.372 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer:640 - Waiting for workers to finish.
2020-05-02 11:04:03.371 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer:643 - Successfully waited for workers to finish.
2020-05-02 11:04:03.378 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer:1231 - Shutdown ignored - container is not active already
2020-05-02 11:04:03.378 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer:1231 - Shutdown ignored - container is not active already
2020-05-02 11:04:03.379 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-02 11:11:29.331 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-02 11:11:30.781 [main] INFO  c.hyl.graduation.fastdfs.FastdfsApplicationTests:651 - No active profile set, falling back to default profiles: default
2020-05-02 11:11:32.095 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:246 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-02 11:11:32.100 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-05-02 11:11:32.130 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:184 - Finished Spring Data repository scanning in 11ms. Found 0 repository interfaces.
2020-05-02 11:11:32.659 [main] INFO  o.springframework.cloud.context.scope.GenericScope:295 - BeanFactory id=abae0d28-0ada-3ce2-b84d-62844a3d09ed
2020-05-02 11:11:33.197 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
